舞浜駅,京葉線/武蔵野線・蘇我行き（１番線）出口に近い・乗り換えに便利な乗車位置案,JR東日本公式サイト：舞浜駅,-,www.jreast.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
舞浜駅,京葉線/武蔵野線・東京行き（２番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【１０両編成】,３号車,エスカレーター,４号車,階段,５・６号車間,エレベーター,６・７号車間,エレベーター,８号車前方,階段,９号車,エスカレーター,１０号車後方,待合室,,,,,,,,,,,,,,,,
舞浜駅,京葉線/武蔵野線・東京行き（２番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【８両編成】,２号車,エスカレーター,３号車,階段,４・５号車間,エレベーター,５・６号車間,エレベーター,７号車前方,階段,８号車,エスカレーター,,,,,,,,,,,,,,,,,,
舞浜駅,京葉線/武蔵野線・東京行き（２番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,北改札口,・トイレ,・コインロッカー,,,,,,,,,,,,,,,,,,,,,,,,,,,,
舞浜駅,京葉線/武蔵野線・東京行き（２番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,南改札口,・東京ディズニーランド・パーク,・東京ディズニーシー・パーク,【南口】,・バス,・タクシー,・トイレ,・コインロッカー,・交番,,,,,,,,,,,,,,,,,,,,,,
舞浜駅,京葉線/武蔵野線・東京行き（２番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,北改札口,・トイレ,・コインロッカー,,,,,,,,,,,,,,,,,,,,,,,,,,,,
舞浜駅,京葉線/武蔵野線・東京行き（２番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,南改札口,・東京ディズニーランド・パーク,・東京ディズニーシー・パーク,【南口】,・バス,・タクシー,・トイレ,・コインロッカー,・交番,,,,,,,,,,,,,,,,,,,,,,
舞浜駅,京葉線/武蔵野線・東京行き（２番線）出口に近い・乗り換えに便利な乗車位置案,JR東日本公式サイト：舞浜駅,-,www.jreast.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
目黒駅,山手線内回り（１番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,中央改札口,・トイレ,・びゅうプラザ,　※きっぷうりば・旅行カウンター・指定券発売機,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,,,
目黒駅,山手線内回り（１番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,東急連絡改札口,（AM4：45～AM0：42）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
目黒駅,山手線内回り（１番線）出口に近い・乗り換えに便利な乗車位置案,乗換案内,中央改札口,・トイレ,・びゅうプラザ,　※きっぷうりば・旅行カウンター・指定券発売機,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,,,
目黒駅,山手線内回り（１番線）出口に近い・乗り換えに便利な乗車位置案,乗換案内,東急連絡改札口,（AM4：45～AM0：42）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
目黒駅,山手線内回り（１番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,中央改札口,・トイレ,・びゅうプラザ,　※きっぷうりば・旅行カウンター・指定券発売機,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,,,
目黒駅,山手線内回り（１番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,東急連絡改札口,（AM4：45～AM0：42）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
目黒駅,山手線内回り（１番線）出口に近い・乗り換えに便利な乗車位置案,JR東日本公式サイト：目黒駅,-,www.jreast.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
目黒駅,山手線外回り（２番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,中央改札口,・トイレ,・びゅうプラザ,　※きっぷうりば・旅行カウンター・指定券発売機,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,,,
目黒駅,山手線外回り（２番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,東急連絡改札口,（AM4：45～AM0：42）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
目黒駅,山手線外回り（２番線）出口に近い・乗り換えに便利な乗車位置案,乗換案内,中央改札口,・トイレ,・びゅうプラザ,　※きっぷうりば・旅行カウンター・指定券発売機,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,,,
目黒駅,山手線外回り（２番線）出口に近い・乗り換えに便利な乗車位置案,乗換案内,東急連絡改札口,（AM4：45～AM0：42）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
目黒駅,山手線外回り（２番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,中央改札口,・トイレ,・びゅうプラザ,　※きっぷうりば・旅行カウンター・指定券発売機,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,,,
目黒駅,山手線外回り（２番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,東急連絡改札口,（AM4：45～AM0：42）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
目黒駅,山手線外回り（２番線）出口に近い・乗り換えに便利な乗車位置案,JR東日本公式サイト：目黒駅,-,www.jreast.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
目白駅,山手線内回り（１番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,-,１号車後方,（出口）,エレベーター,１号車前方,（出口）,階段,２号車,（出口）,階段,４号車,（出口）,エスカレーター,,,,,,,,,,,,,,,,,,
目白駅,山手線内回り（１番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,-,・トイレ,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,,,,,
目白駅,山手線内回り（１番線）出口に近い・乗り換えに便利な乗車位置案,JR東日本公式サイト：目白駅,-,www.jreast.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
目白駅,山手線外回り（２番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,-,１号車前方,（出口）,エレベーター,１号車後方,（出口）,階段,２号車,（出口）,階段,４号車,（出口）,エスカレーター,,,,,,,,,,,,,,,,,,
目白駅,山手線外回り（２番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,-,・トイレ,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,,,,,
目白駅,山手線外回り（２番線）出口に近い・乗り換えに便利な乗車位置案,JR東日本公式サイト：目白駅,-,www.jreast.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三河島駅,常磐線・品川行き（１番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【１５両編成】,１３・１４号車間,待合室,１４号車後方,階段,１５号車後方,エレベーター,,,,,,,,,,,,,,,,,,,,,,,,
三河島駅,常磐線・品川行き（１番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【１０両編成】,８・９号車,待合室,９号車後方,階段,１０号車後方,エレベーター,,,,,,,,,,,,,,,,,,,,,,,,
三河島駅,常磐線・品川行き（１番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,-,改札は１つです。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三河島駅,常磐線・品川行き（１番線）出口に近い・乗り換えに便利な乗車位置案,JR東日本公式サイト：三河島駅,-,www.jreast.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三河島駅,常磐線・北千住行き（２番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【１５両編成】,１３号車,待合室,１５号車後方,階段,１５号車前方,エレベーター,,,,,,,,,,,,,,,,,,,,,,,,
三河島駅,常磐線・北千住行き（２番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【１０両編成】,９号車,待合室,１０号車,階段,１０号車前方,エレベーター,,,,,,,,,,,,,,,,,,,,,,,,
三河島駅,常磐線・北千住行き（２番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,-,改札は１つです。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三河島駅,常磐線・北千住行き（２番線）出口に近い・乗り換えに便利な乗車位置案,JR東日本公式サイト：三河島駅,-,www.jreast.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南千住駅,常磐線・北千住行き（１番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,-,１０両編成も乗車位置同じです。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南千住駅,常磐線・北千住行き（１番線）出口に近い・乗り換えに便利な乗車位置案,乗換案内,-,メトロ 日比谷線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南千住駅,常磐線・北千住行き（１番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,-,改札は１つですが、出口は「西口・東口」があります,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南千住駅,常磐線・北千住行き（１番線）出口に近い・乗り換えに便利な乗車位置案,JR東日本公式サイト：南千住駅,-,www.jreast.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南千住駅,常磐線・品川行き（２番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【１５両編成】,３号車,階段,４号車後方,エレベーター,６号車,エスカレーター,８号車,待合室,,,,,,,,,,,,,,,,,,,,,,
南千住駅,常磐線・品川行き（２番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【１０両編成】,１号車,階段,２号車後方,エレベーター,４号車,エスカレーター,６号車,待合室,,,,,,,,,,,,,,,,,,,,,,
南千住駅,常磐線・品川行き（２番線）出口に近い・乗り換えに便利な乗車位置案,乗換案内,-,メトロ 日比谷線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南千住駅,常磐線・品川行き（２番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,-,改札は１つですが、出口は「西口・東口」があります,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南千住駅,常磐線・品川行き（２番線）出口に近い・乗り換えに便利な乗車位置案,JR東日本公式サイト：南千住駅,-,www.jreast.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央線・高尾行き（６番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,のりかえ専用階段,・JR線,・東京メトロ東西線,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央線・高尾行き（６番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,南口・北口,・トイレ,・バス,・タクシー・JR線、東京メトロのりかえ,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央線・高尾行き（６番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,のりかえ専用階段,・JR線,・東京メトロ東西線,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央線・高尾行き（６番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,南口・北口,・トイレ,・バス,・タクシー・JR線、東京メトロのりかえ,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央線・高尾行き（６番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,のりかえ専用階段,・JR線,・東京メトロ東西線,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央線・高尾行き（６番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,南口・北口,・トイレ,・バス,・タクシー・JR線、東京メトロのりかえ,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央線・高尾行き（６番線）出口に近い・乗り換えに便利な乗車位置案,JR東日本公式サイト：中野駅,-,www.jreast.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央線・東京行き（７・８番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,のりかえ専用階段,・JR線,・東京メトロ東西線,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央線・東京行き（７・８番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,南口・北口,・トイレ,・バス,・タクシー・JR線、東京メトロのりかえ,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央線・東京行き（７・８番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,のりかえ専用階段,・JR線,・東京メトロ東西線,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央線・東京行き（７・８番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,南口・北口,・トイレ,・バス,・タクシー・JR線、東京メトロのりかえ,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央線・東京行き（７・８番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,のりかえ専用階段,・JR線,・東京メトロ東西線,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央線・東京行き（７・８番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,南口・北口,・トイレ,・バス,・タクシー・JR線、東京メトロのりかえ,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央線・東京行き（７・８番線）出口に近い・乗り換えに便利な乗車位置案,JR東日本公式サイト：中野駅,-,www.jreast.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央総武線・三鷹行き（１・３番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,１番線のりば,３号車後方,（のりかえ専用）,階段,６号車後方,（南口・北口）,エスカレーター,８号車後方,（南口・北口）,階段,,,,,,,,,,,,,,,,,,,,,
中野駅,中央総武線・三鷹行き（１・３番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,３番線のりば（一部の電車が止まります）,１号車後方,（のりかえ専用）,階段,３号車,（南口・北口）,エスカレーター,５号車前方,（南口・北口）,階段,,,,,,,,,,,,,,,,,,,,,
中野駅,中央総武線・三鷹行き（１・３番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,のりかえ専用階段,・JR線,・東京メトロ東西線,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央総武線・三鷹行き（１・３番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,南口・北口,・トイレ,・バス,・タクシー・JR線、東京メトロのりかえ,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央総武線・三鷹行き（１・３番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,のりかえ専用階段,・JR線,・東京メトロ東西線,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央総武線・三鷹行き（１・３番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,南口・北口,・トイレ,・バス,・タクシー・JR線、東京メトロのりかえ,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央総武線・三鷹行き（１・３番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,のりかえ専用階段,・JR線,・東京メトロ東西線,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央総武線・三鷹行き（１・３番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,南口・北口,・トイレ,・バス,・タクシー・JR線、東京メトロのりかえ,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央総武線・三鷹行き（１・３番線）出口に近い・乗り換えに便利な乗車位置案,JR東日本公式サイト：中野駅,-,www.jreast.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央総武線・千葉行き（２・５番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,５番線のりば,１号車前方,（のりかえ専用）,階段,３号車,（南口・北口）,エスカレーター,５号車後方,（南口・北口）,階段,,,,,,,,,,,,,,,,,,,,,
中野駅,中央総武線・千葉行き（２・５番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,２番線のりば（一部の電車が止まります）,３号車,（のりかえ専用）,階段,６号車,（南口・北口）,エスカレーター,８号車後方,（南口・北口）,階段,,,,,,,,,,,,,,,,,,,,,
中野駅,中央総武線・千葉行き（２・５番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,のりかえ専用階段,・JR線,・東京メトロ東西線,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央総武線・千葉行き（２・５番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,南口・北口,・トイレ,・バス,・タクシー・JR線、東京メトロのりかえ,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央総武線・千葉行き（２・５番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,のりかえ専用階段,・JR線,・東京メトロ東西線,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央総武線・千葉行き（２・５番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,南口・北口,・トイレ,・バス,・タクシー・JR線、東京メトロのりかえ,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央総武線・千葉行き（２・５番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,のりかえ専用階段,・JR線,・東京メトロ東西線,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央総武線・千葉行き（２・５番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,南口・北口,・トイレ,・バス,・タクシー・JR線、東京メトロのりかえ,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野駅,中央総武線・千葉行き（２・５番線）出口に近い・乗り換えに便利な乗車位置案,JR東日本公式サイト：中野駅,-,www.jreast.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西荻窪駅,中央線・高尾行き（３番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,-,３・４号車間,（出口）,階段,４号車,（出口）,エレベーター,５号車前方,待合室,６号車,（出口）,階段・エスカレーター,,,,,,,,,,,,,,,,,,,
西荻窪駅,中央線・高尾行き（３番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,-,中央・総武線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西荻窪駅,中央線・高尾行き（３番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,-,改札内・トイレ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西荻窪駅,中央線・高尾行き（３番線）出口に近い・乗り換えに便利な乗車位置案,JR東日本公式サイト：西荻窪駅,-,www.jreast.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・品川行き（３番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【１５両編成】,３号車後方,（JR線のりかえ階段）,階段,５号車前方,（JR線のりかえ階段）,階段,６号車,（南改札口）,エスカレーター,８号車後方,（南改札口）,階段,９号車後方,（京成線のりかえ口）,階段,１１号車前方,（京成線のりかえ口）,階段,１１号車後方,（京成線のりかえ口・北改札口）,エレベーター,１１号車後方,（北改札口）,エスカレーター,１３号車,（北改札口）,階段,１５号車,（北改札口）,エスカレーター
日暮里駅,常磐線・品川行き（３番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【１０両編成】,１号車前方,（JR線のりかえ階段）,階段,１号車,（南改札口）,エスカレーター,３号車,（南改札口）,階段,４号車後方,（京成線のりかえ口）,階段,６号車前方,（京成線のりかえ口）,階段,６号車後方,（京成線のりかえ口・北改札口）,エレベーター,６号車後方,（北改札口）,エスカレーター,８号車,（北改札口）,階段,１０号車,（北改札口）,エスカレーター,,,
日暮里駅,常磐線・品川行き（３番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【JR線のりかえ階段】,・常磐線（上野東京ライン）,・成田線,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・品川行き（３番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【南改札口】,・常磐線（上野東京ライン）,・成田線,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・品川行き（３番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【京成線のりかえ口】,※成田空港方面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・品川行き（３番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【北改札口】,・常磐線（上野東京ライン）,・成田線,・日暮里 舎人ライナー,・トイレ,・みどりの窓口,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・品川行き（３番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,【JR線のりかえ階段】,・常磐線（上野東京ライン）,・成田線,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・品川行き（３番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,【南改札口】,・常磐線（上野東京ライン）,・成田線,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・品川行き（３番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,【京成線のりかえ口】,※成田空港方面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・品川行き（３番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,【北改札口】,・常磐線（上野東京ライン）,・成田線,・日暮里 舎人ライナー,・トイレ,・みどりの窓口,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・品川行き（３番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,【JR線のりかえ階段】,・常磐線（上野東京ライン）,・成田線,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・品川行き（３番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,【南改札口】,・常磐線（上野東京ライン）,・成田線,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・品川行き（３番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,【京成線のりかえ口】,※成田空港方面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・品川行き（３番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,【北改札口】,・常磐線（上野東京ライン）,・成田線,・日暮里 舎人ライナー,・トイレ,・みどりの窓口,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・品川行き（３番線）出口に近い・乗り換えに便利な乗車位置案,JR東日本公式サイト：日暮里駅,-,www.jreast.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・北千住行き（４番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【１５両編成】,５号車後方,（JR線のりかえ階段）,階段,６号車前方,（JR線のりかえ階段）,階段,７号車,（南改札口）,エスカレーター,１０号車後方,（南改札口）,階段,１１号車後方,（京成線のりかえ口）,階段,１２号車後方,（京成線のりかえ口）,階段,１３号車,（京成線のりかえ口・北改札口）,エレベーター,１３号車,（北改札口）,エスカレーター,１４号車,（北改札口）,階段,１５号車前方,（北改札口）,エスカレーター
日暮里駅,常磐線・北千住行き（４番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【１０両編成】,１号車後方,（JR線のりかえ階段）,階段,２号車前方,（JR線のりかえ階段）,階段,３号車,（南改札口）,エスカレーター,６号車後方,（南改札口）,階段,７号車後方,（京成線のりかえ口）,階段,８号車後方,（京成線のりかえ口）,階段,９号車,（京成線のりかえ口・北改札口）,エレベーター,９号車,（北改札口）,エスカレーター,１０号車,（北改札口）,階段,,,
日暮里駅,常磐線・北千住行き（４番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【JR線のりかえ階段】,・常磐線（上野東京ライン）,・成田線,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・北千住行き（４番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【南改札口】,・常磐線（上野東京ライン）,・成田線,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・北千住行き（４番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【京成線のりかえ口】,※成田空港方面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・北千住行き（４番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【北改札口】,・常磐線（上野東京ライン）,・成田線,・日暮里 舎人ライナー,・トイレ,・みどりの窓口,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・北千住行き（４番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,【JR線のりかえ階段】,・常磐線（上野東京ライン）,・成田線,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・北千住行き（４番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,【南改札口】,・常磐線（上野東京ライン）,・成田線,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・北千住行き（４番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,【京成線のりかえ口】,※成田空港方面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・北千住行き（４番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,【北改札口】,・常磐線（上野東京ライン）,・成田線,・日暮里 舎人ライナー,・トイレ,・みどりの窓口,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・北千住行き（４番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,【JR線のりかえ階段】,・常磐線（上野東京ライン）,・成田線,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・北千住行き（４番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,【南改札口】,・常磐線（上野東京ライン）,・成田線,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・北千住行き（４番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,【京成線のりかえ口】,※成田空港方面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・北千住行き（４番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,【北改札口】,・常磐線（上野東京ライン）,・成田線,・日暮里 舎人ライナー,・トイレ,・みどりの窓口,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,常磐線・北千住行き（４番線）出口に近い・乗り換えに便利な乗車位置案,JR東日本公式サイト：日暮里駅,-,www.jreast.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,京浜東北線・北行き（１２番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【JR線のりかえ階段】,・常磐線（上野東京ライン）,・成田線,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,京浜東北線・北行き（１２番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【南改札口】,・常磐線（上野東京ライン）,・成田線,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,京浜東北線・北行き（１２番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【京成線のりかえ口】,※成田空港方面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,京浜東北線・北行き（１２番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【北改札口】,・常磐線（上野東京ライン）,・成田線,・日暮里 舎人ライナー,・トイレ,・みどりの窓口,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,京浜東北線・北行き（１２番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,【JR線のりかえ階段】,・常磐線（上野東京ライン）,・成田線,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日暮里駅,京浜東北線・北行き（１２番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,【南改札口】,・常磐線（上野東京ライン）,・成田線,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,,,,
